rank,title,ratings,rating_num,meta
1,追风筝的人,8.8,272758,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元
2,小王子,9.0,220692,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元
3,围城,8.9,185740,钱锺书 / 人民文学出版社 / 1991-2 / 19.00
4,解忧杂货店,8.6,214680,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元
5,活着,9.1,127850,余华 / 南海出版公司 / 1998-5 / 12.00元
6,白夜行,9.1,186428,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元
7,挪威的森林,8.0,183456,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元
8,嫌疑人X的献身,8.9,138839,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00
9,三体,8.8,137511,刘慈欣 / 重庆出版社 / 2008-1 / 23.00
10,不能承受的生命之轻,8.5,133095,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元
11,红楼梦,9.5,118258,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元
12,梦里花落知多少,7.2,145065,郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元
13,达·芬奇密码,8.2,125738,[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元
14,看见,8.8,115681,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元
15,百年孤独,9.2,107633,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元
16,1988：我想和这个世界谈谈,7.9,119148,韩寒 / 国际文化出版公司 / 2010-9 / 25.00元
17,何以笙箫默,8.0,116899,顾漫 / 朝华出版社 / 2007-4 / 15.00元
18,平凡的世界（全三部）,9.0,97714,路遥 / 人民文学出版社 / 2005-1 / 64.00元
19,简爱,8.5,105049,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元
20,哈利·波特与魔法石,9.0,85049,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元
21,白夜行,9.2,84618,东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元
22,三体Ⅱ,9.2,81731,刘慈欣 / 重庆出版社 / 2008-5 / 32.00
23,飘,9.3,76279,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元
24,送你一颗子弹,8.6,86449,刘瑜 / 上海三联书店 / 2010-1 / 25.00元
25,三体Ⅲ,9.2,80668,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元
26,天才在左 疯子在右,8.3,88932,高铭 / 武汉大学出版社 / 2010-2 / 29.80元
27,傲慢与偏见,8.8,83073,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元
28,倾城之恋,8.5,85848,张爱玲 / 花城出版社 / 1997-3-1 / 11.00
29,三重门,7.4,94432,韩寒 / 作家出版社 / 2000-5 / 16.00
30,杜拉拉升职记,7.8,89022,李可 / 陕西师范大学出版社 / 2007-9 / 26.00元
31,明朝那些事儿（壹）,8.8,80507,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80
32,哈利·波特与阿兹卡班的囚徒,8.9,72058,[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元
33,目送,8.7,77758,龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元
34,情人,8.0,82572,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元
35,哈利·波特与密室,8.8,69746,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元
36,万历十五年,8.9,58455,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元
37,我们仨,8.6,74974,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元
38,幻城,7.1,88966,郭敬明 / 春风文艺出版社 / 2003-1 / 28.00元
39,致我们终将逝去的青春,7.9,80208,辛夷坞 / 朝华出版社 / 2007-8 / 25.00元
40,1Q84 BOOK 1,8.3,76269,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元
41,狼图腾,8.3,75334,姜戎 / 长江文艺出版社 / 2004-4 / 32.00元
42,微微一笑很倾城,8.1,76438,顾漫 / 江苏文艺出版社 / 2009-8 / 25.00
43,独唱团（第一辑）,7.8,79551,韩寒 主编 / 书海出版社 / 2010-7-6 / 16.00元
44,莲花,8.0,77290,安妮宝贝 / 作家出版社 / 2006-3 / 25.00元
45,哈利·波特与火焰杯,8.9,69863,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元
46,边城,8.6,67486,沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元
47,月亮和六便士,8.9,67170,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元
48,向左走·向右走,8.4,69963,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元
49,活着,9.3,62622,余华 / 作家出版社 / 2012-8 / 20.00元
50,穆斯林的葬礼,8.3,68114,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00
51,从你的全世界路过,7.1,75199,张嘉佳 / 湖南文艺出版社 / 2013-11-1 / 36.00元
52,悲伤逆流成河,6.3,83109,郭敬明 / 长江文艺出版社 / 2007-5 / 24.00元
53,恶意,8.4,65389,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00
54,天龙八部,9.1,55162,金庸 / 三联书店 / 1994-5 / 96.0
55,长安乱,7.4,72791,韩寒 / 中国青年出版社 / 2004-8 / 20.00元
56,Harry Potter and the Deathly Hallows,8.9,6880,J.K.Rowling / Arthur A. Levine Books / 2007-7-21 / 34.99美元
57,放学后,7.6,71226,[日]东野圭吾 / 赵峻 / 南海出版公司 / 2010-1 / 20.00元
58,哈利·波特与混血王子,8.8,61200,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元
59,一个人的好天气,7.6,69455,[日] 青山七惠 / 竺家荣 / 上海译文出版社 / 2007-9 / 15.00元
60,苏菲的世界,8.5,61161,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元
61,许三观卖血记,8.7,59801,余华 / 南海出版公司 / 1998-9 / 16.80元
62,1995-2005夏至未至,7.4,67700,郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元
63,盗墓笔记,8.4,60179,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元
64,撒哈拉的故事,9.0,56966,三毛 / 皇冠出版社 / 1976 / 160 TWD
65,霍乱时期的爱情,8.9,57026,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元
66,哈利·波特与凤凰社,8.7,57763,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元
67,喜宝,8.1,42340,亦舒 / 新世界出版社 / 2007-2 / 22.00元
68,三生三世 十里桃花,8.1,63264,唐七公子 / 沈阳出版社 / 2009-1 / 26.80
69,海边的卡夫卡,8.1,60454,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元
70,岛上书店,7.6,63591,[美] 加·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5 / CNY 35.00
71,文化苦旅,7.8,62366,余秋雨 / 东方出版中心 / 2001-4 / 22.00元
72,基督山伯爵,8.9,50117,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元
73,窗边的小豆豆,8.7,56622,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元
