rank,title,ratings,rating_num,meta
1,肖申克的救赎,9.6,841247,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /.../1994 / 美国 / 犯罪 剧情
2,霸王别姬,9.5,602378,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha.../1993 / 中国大陆 香港 / 剧情 爱情 同性
3,这个杀手不太冷,9.4,806873,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 .../1994 / 法国 / 剧情 动作 犯罪
4,阿甘正传,9.4,690148,导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise/1994 / 美国 / 剧情 爱情
5,美丽人生,9.5,401850,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni.../1997 / 意大利 / 剧情 喜剧 爱情 战争
6,千与千寻,9.2,641910,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy.../2001 / 日本 / 剧情 动画 奇幻
7,辛德勒的名单,9.4,371430,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson.../1993 / 美国 / 剧情 历史 战争
8,泰坦尼克号,9.2,634793,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo.../1997 / 美国 / 剧情 爱情 灾难
9,盗梦空间,9.2,742434,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le.../2010 / 美国 英国 / 剧情 动作 科幻 悬疑 冒险
10,机器人总动员,9.3,487303,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽.../2008 / 美国 / 喜剧 爱情 科幻 动画 冒险
11,海上钢琴师,9.2,586147,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / .../1998 / 意大利 / 剧情 音乐
12,三傻大闹宝莱坞,9.1,654128,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡.../2009 / 印度 / 剧情 喜剧 爱情 歌舞
13,忠犬八公的故事,9.2,439534,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger.../2009 / 美国 英国 / 剧情
14,放牛班的春天,9.2,439626,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra.../2004 / 法国 瑞士 德国 / 剧情 音乐
15,大话西游之大圣娶亲,9.2,473474,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng.../1995 / 香港 中国大陆 / 动作 冒险 喜剧 奇幻 爱情
16,教父,9.2,334834,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M.../1972 / 美国 / 剧情 犯罪
17,龙猫,9.1,407049,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch.../1988 / 日本 / 动画 奇幻
18,楚门的世界,9.0,438386,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau.../1998 / 美国 / 剧情 科幻
19,乱世佳人,9.2,264905,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 克.../1940 / 美国 / 剧情 爱情 战争
20,天堂电影院,9.1,303036,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel.../1988 / 意大利 法国 / 剧情 爱情
21,当幸福来敲门,8.9,525539,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith .../2006 / 美国 / 剧情 传记 家庭
22,触不可及,9.1,356696,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主.../2011 / 法国 / 剧情 喜剧
23,搏击俱乐部,9.0,396631,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉.../1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
24,熔炉,9.2,239383,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong .../2011 / 韩国 / 剧情
25,无间道,9.0,386117,导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生/2002 / 香港 / 剧情 犯罪 悬疑
26,十二怒汉,9.4,166079,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti.../1957 / 美国 / 剧情
27,怦然心动,8.9,526682,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡.../2010 / 美国 / 剧情 喜剧 爱情
28,指环王3：王者无敌,9.1,278288,导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / .../2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
29,天空之城,9.0,323100,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke.../1986 / 日本 / 动画 奇幻 冒险
30,少年派的奇幻漂流,9.0,565021,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa.../2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险
31,罗马假日,8.9,376337,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格.../1953 / 美国 / 喜剧 剧情 爱情
32,星际穿越,9.1,466811,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc.../2014 / 美国 英国 加拿大 / 剧情 科幻 悬疑 冒险 家庭
33,鬼子来了,9.1,220115,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /.../2000 / 中国大陆 / 剧情 战争
34,大话西游之月光宝盒,8.9,383826,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng.../1995 / 香港 中国大陆 / 喜剧 动作 爱情 奇幻 冒险 古装
35,蝙蝠侠：黑暗骑士,9.0,307355,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ.../2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
36,两杆大烟枪,9.0,267027,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran/1998 / 英国 / 剧情 喜剧 犯罪
37,活着,9.0,255977,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang/1994 / 中国大陆 香港 / 剧情 家庭
38,飞屋环游记,8.9,485448,导演: 彼特·道格特 Pete Docter   主演: 爱德华·阿斯纳 Edward Asner / 克.../2009 / 美国 / 剧情 喜剧 动画 奇幻 冒险
39,窃听风暴,9.1,214840,导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   .../2006 / 德国 / 剧情 悬疑
40,飞越疯人院,9.0,270776,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols.../1975 / 美国 / 剧情
41,海豚湾,9.3,177858,导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char.../2009 / 美国 / 纪录片
42,闻香识女人,8.9,311943,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯.../1992 / 美国 / 剧情
43,V字仇杀队,8.8,400362,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por.../2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
44,哈尔的移动城堡,8.8,335546,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓.../2004 / 日本 / 爱情 动画 奇幻 冒险
45,教父2,9.1,180387,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A.../1974 / 美国 / 剧情 犯罪
46,美丽心灵,8.9,295813,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·.../2001 / 美国 / 传记 剧情
47,指环王2：双塔奇兵,8.9,262712,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩.../2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
48,指环王1：魔戒再现,8.9,293232,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩.../2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
49,死亡诗社,8.9,266861,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯.../1989 / 美国 / 剧情
50,情书,8.8,361301,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets.../1995 / 日本 / 剧情 爱情
51,天使爱美丽,8.7,468122,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau.../2001 / 法国 德国 / 喜剧 爱情
52,美国往事,9.1,168403,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro .../1984 / 意大利 美国 / 犯罪 剧情
53,七宗罪,8.7,422271,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布.../1995 / 美国 / 剧情 犯罪 悬疑 惊悚
54,控方证人,9.6,78279,导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / .../1957 / 美国 / 剧情 犯罪 悬疑
55,钢琴家,9.0,196381,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod.../2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争
56,狮子王,8.9,271510,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马.../1994 / 美国 / 剧情 动画 冒险 歌舞 家庭
57,辩护人,9.1,189054,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O.../2013 / 韩国 / 剧情
58,被嫌弃的松子的一生,8.9,267634,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E.../2006 / 日本 / 剧情 歌舞
59,饮食男女,9.0,184806,导演: 李安 Ang Lee   主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /.../1994 / 台湾 美国 / 剧情 家庭
60,致命魔术,8.8,327393,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ.../2006 / 美国 英国 / 剧情 悬疑 惊悚
61,勇敢的心,8.8,287778,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛.../1995 / 美国 / 动作 传记 剧情 历史 战争
62,剪刀手爱德华,8.7,467861,导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona .../1990 / 美国 / 剧情 奇幻 爱情
63,小鞋子,9.2,130621,导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕.../1997 / 伊朗 / 剧情 家庭 儿童
64,音乐之声,8.9,224045,导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普.../1965 / 美国 / 剧情 爱情 歌舞 家庭 传记
65,低俗小说,8.7,320234,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra.../1994 / 美国 / 剧情 喜剧 犯罪
66,入殓师,8.8,309713,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / .../2008 / 日本 / 剧情
67,本杰明·巴顿奇事,8.7,378900,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / .../2008 / 美国 / 剧情 爱情 奇幻
68,沉默的羔羊,8.7,339012,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安.../1991 / 美国 / 剧情 犯罪 惊悚
69,黑客帝国,8.8,268158,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主.../1999 / 美国 澳大利亚 / 动作 科幻
70,蝴蝶效应,8.7,366617,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主.../2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
71,拯救大兵瑞恩,8.8,225376,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks.../1998 / 美国 / 剧情 历史 战争
72,素媛,9.1,164269,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm .../2013 / 韩国 / 剧情 家庭
73,西西里的美丽传说,8.7,329339,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica .../2000 / 意大利 美国 / 剧情 战争 情色
74,玛丽和马克思,8.9,226475,导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍.../2009 / 澳大利亚 / 剧情 爱情 动画
75,心灵捕手,8.7,258199,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·.../1997 / 美国 / 剧情
76,幽灵公主,8.8,224481,导演: 宫崎骏   主演: 松田洋治 / 石田百合子 / 田中裕子/1997 / 日本 / 动画 冒险 奇幻
77,第六感,8.8,223806,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi.../1999 / 美国 / 剧情 悬疑 恐怖
78,春光乍泄,8.8,232026,导演: 王家卫   主演: 张国荣 / 梁朝伟 / 张震/1997 / 香港 日本 韩国 / 剧情 爱情 同性
79,阳光灿烂的日子,8.7,258478,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao/1994 / 中国大陆 香港 / 剧情
